10000 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（1）班', 'classid': '26553', 'schoolname': '周恩来红军小学', 'gradeid': '26452', 'draw': 0, 'isadmin': 0, 'length': 10}]
41549 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '9176', 'pageindex': 0, 'classname': '（4）班', 'classid': '9230', 'schoolname': '厦门大学附属实验中学', 'gradeid': '9181', 'draw': 0, 'isadmin': 0, 'length': 10}]
41566 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '25257', 'pageindex': 0, 'classname': '（2）班', 'classid': '25265', 'schoolname': '咸阳纺机学校', 'gradeid': '25258', 'draw': 0, 'isadmin': 0, 'length': 10}]
41573 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '15942', 'pageindex': 0, 'classname': '（3）班', 'classid': '17522', 'schoolname': '柯灵小学敬敷校区', 'gradeid': '16274', 'draw': 0, 'isadmin': 0, 'length': 10}]
41575 [{'gradename': '小班', 'start': 0, 'pageno': 1, 'schoolid': '11275', 'pageindex': 0, 'classname': '（1）班', 'classid': '13485', 'schoolname': '西安市长安区郭杜街道香积寺幼儿园', 'gradeid': '13082', 'draw': 0, 'isadmin': 0, 'length': 10}]
41586 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '8485', 'pageindex': 0, 'classname': '（5）班', 'classid': '8638', 'schoolname': '邹城四中钢山校区', 'gradeid': '8621', 'draw': 0, 'isadmin': 0, 'length': 10}]
41594 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '4800', 'pageindex': 0, 'classname': '（3）班', 'classid': '6792', 'schoolname': '贵州省施秉县民族中学', 'gradeid': '6789', 'draw': 0, 'isadmin': 0, 'length': 10}]
41599 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '5839', 'pageindex': 0, 'classname': '（5）班', 'classid': '6347', 'schoolname': '三盟科技大学附属学校', 'gradeid': '6320', 'draw': 0, 'isadmin': 0, 'length': 10}]
41639 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11292', 'pageindex': 0, 'classname': '（1）班', 'classid': '13622', 'schoolname': '西安市长安区魏寨街道开心果幼儿园', 'gradeid': '13130', 'draw': 0, 'isadmin': 0, 'length': 10}]
41644 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '23075', 'pageindex': 0, 'classname': '（5）班', 'classid': '23196', 'schoolname': '江阴市第一初级中学', 'gradeid': '23161', 'draw': 0, 'isadmin': 0, 'length': 10}]
41646 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '120', 'pageindex': 0, 'classname': '（6）班', 'classid': '274', 'schoolname': '苏州市勤惜实验小学校', 'gradeid': '240', 'draw': 0, 'isadmin': 0, 'length': 10}]
41649 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '854', 'pageindex': 0, 'classname': '（2）班', 'classid': '857', 'schoolname': '苏州市金筑实验小学校', 'gradeid': '855', 'draw': 0, 'isadmin': 0, 'length': 10}]
41652 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '2206', 'pageindex': 0, 'classname': '（8）班', 'classid': '25694', 'schoolname': '江山二中', 'gradeid': '25686', 'draw': 0, 'isadmin': 0, 'length': 10}]
41670 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '11349', 'pageindex': 0, 'classname': '（1）班', 'classid': '22345', 'schoolname': '王莽九年制学校', 'gradeid': '22337', 'draw': 0, 'isadmin': 0, 'length': 10}]
41678 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '2206', 'pageindex': 0, 'classname': '（15）班', 'classid': '2725', 'schoolname': '江山二中', 'gradeid': '2680', 'draw': 0, 'isadmin': 0, 'length': 10}]
41686 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '2916', 'pageindex': 0, 'classname': '（8）班', 'classid': '7872', 'schoolname': '太仓市科教新城实验小学', 'gradeid': '7864', 'draw': 0, 'isadmin': 0, 'length': 10}]
41697 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '15908', 'pageindex': 0, 'classname': '（9）班', 'classid': '16573', 'schoolname': '康平县第一中学', 'gradeid': '16053', 'draw': 0, 'isadmin': 0, 'length': 10}]
41708 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '6377', 'pageindex': 0, 'classname': '（14）班', 'classid': '9774', 'schoolname': '开发测试演示学校', 'gradeid': '9497', 'draw': 0, 'isadmin': 0, 'length': 10}]
41710 [{'gradename': '小班', 'start': 0, 'pageno': 1, 'schoolid': '11122', 'pageindex': 0, 'classname': '（4）班', 'classid': '12495', 'schoolname': '美伦天成幼儿园', 'gradeid': '12478', 'draw': 0, 'isadmin': 0, 'length': 10}]
41714 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '23078', 'pageindex': 0, 'classname': '（3）班', 'classid': '23316', 'schoolname': '江阴市要塞中学初中部', 'gradeid': '23297', 'draw': 0, 'isadmin': 0, 'length': 10}]
41733 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '904', 'pageindex': 0, 'classname': '（8）班', 'classid': '1598', 'schoolname': '南京市浦口区实验小学', 'gradeid': '1574', 'draw': 0, 'isadmin': 0, 'length': 10}]
41734 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '3782', 'pageindex': 0, 'classname': '（3）班', 'classid': '3791', 'schoolname': '泰州市姜堰区实验小学教育集团', 'gradeid': '3783', 'draw': 0, 'isadmin': 0, 'length': 10}]
41740 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '26446', 'pageindex': 0, 'classname': '（6）班', 'classid': '26558', 'schoolname': '周恩来红军小学', 'gradeid': '26452', 'draw': 0, 'isadmin': 0, 'length': 10}]
41743 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '1045', 'pageindex': 0, 'classname': '（6）班', 'classid': '1959', 'schoolname': '常熟市周行中学', 'gradeid': '1046', 'draw': 0, 'isadmin': 0, 'length': 10}]
41747 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '11425', 'pageindex': 0, 'classname': '（5）班', 'classid': '12243', 'schoolname': '西安市长安区第八中学', 'gradeid': '12232', 'draw': 0, 'isadmin': 0, 'length': 10}]
41751 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '6405', 'pageindex': 0, 'classname': '（5）班', 'classid': '6501', 'schoolname': '盐城市射阳县港城实验小学', 'gradeid': '6496', 'draw': 0, 'isadmin': 0, 'length': 10}]
41760 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '77', 'pageindex': 0, 'classname': '（4）班', 'classid': '102', 'schoolname': '苏州带城实验小学', 'gradeid': '80', 'draw': 0, 'isadmin': 0, 'length': 10}]
41773 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '10396', 'pageindex': 0, 'classname': '（4）班', 'classid': '10617', 'schoolname': '新绛县西街实验小学', 'gradeid': '10436', 'draw': 0, 'isadmin': 0, 'length': 10}]
41778 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '4028', 'pageindex': 0, 'classname': '（17）班', 'classid': '4093', 'schoolname': '衢州市兴华中学', 'gradeid': '4031', 'draw': 0, 'isadmin': 0, 'length': 10}]
41780 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '2206', 'pageindex': 0, 'classname': '（5）班', 'classid': '2684', 'schoolname': '江山二中', 'gradeid': '2207', 'draw': 0, 'isadmin': 0, 'length': 10}]
41794 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '11427', 'pageindex': 0, 'classname': '（8）班', 'classid': '22373', 'schoolname': '长安区第三中学', 'gradeid': '12108', 'draw': 0, 'isadmin': 0, 'length': 10}]
41796 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '11050', 'pageindex': 0, 'classname': '（8）班', 'classid': '24805', 'schoolname': '绍兴元培中学', 'gradeid': '11051', 'draw': 0, 'isadmin': 0, 'length': 10}]
41798 [{'gradename': '小班', 'start': 0, 'pageno': 1, 'schoolid': '22516', 'pageindex': 0, 'classname': '（1）班', 'classid': '22518', 'schoolname': '长安区第五幼儿园', 'gradeid': '22517', 'draw': 0, 'isadmin': 0, 'length': 10}]
41799 [{'gradename': '大厅', 'start': 0, 'pageno': 1, 'schoolid': '5499', 'pageindex': 0, 'classname': '南门2', 'classid': '135', 'schoolname': '苏州湾实验小学', 'gradeid': '133', 'draw': 0, 'isadmin': 0, 'length': 10}]
41800 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11288', 'pageindex': 0, 'classname': '（3）班', 'classid': '13594', 'schoolname': '西安市长安区郭杜街道悦美幼儿园', 'gradeid': '13119', 'draw': 0, 'isadmin': 0, 'length': 10}]
41810 [{'gradename': 'C4楼高中', 'start': 0, 'pageno': 1, 'schoolid': '551', 'pageindex': 0, 'classname': '高一(3)班', 'classid': '564', 'schoolname': '苏州星海实验中学', 'gradeid': '561', 'draw': 0, 'isadmin': 0, 'length': 10}]
41811 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '18711', 'pageindex': 0, 'classname': '（5）班', 'classid': '24848', 'schoolname': '扬州文津中学', 'gradeid': '18712', 'draw': 0, 'isadmin': 0, 'length': 10}]
41814 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '9547', 'pageindex': 0, 'classname': '（3）班', 'classid': '9731', 'schoolname': '南京市溧水区群力初级中学', 'gradeid': '9549', 'draw': 0, 'isadmin': 0, 'length': 10}]
41815 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '11340', 'pageindex': 0, 'classname': '（1）班', 'classid': '14798', 'schoolname': '魏寨街道彭村小学', 'gradeid': '13919', 'draw': 0, 'isadmin': 0, 'length': 10}]
41817 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '25110', 'pageindex': 0, 'classname': '（10）班', 'classid': '25123', 'schoolname': '银川九中教育集团阅海一校区', 'gradeid': '25111', 'draw': 0, 'isadmin': 0, 'length': 10}]
41821 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '15910', 'pageindex': 0, 'classname': '（3）班', 'classid': '16615', 'schoolname': '康平县第二中学', 'gradeid': '16058', 'draw': 0, 'isadmin': 0, 'length': 10}]
41826 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '910', 'pageindex': 0, 'classname': '（7）班', 'classid': '26129', 'schoolname': '郑州市第二十四中学', 'gradeid': '26122', 'draw': 0, 'isadmin': 0, 'length': 10}]
41842 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '15837', 'pageindex': 0, 'classname': '（5）班', 'classid': '15861', 'schoolname': '长安一中', 'gradeid': '15839', 'draw': 0, 'isadmin': 0, 'length': 10}]
41850 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '5499', 'pageindex': 0, 'classname': '（2）班', 'classid': '6635', 'schoolname': '苏州湾实验小学', 'gradeid': '6633', 'draw': 0, 'isadmin': 0, 'length': 10}]
41851 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '3549', 'pageindex': 0, 'classname': '（1）班', 'classid': '3554', 'schoolname': '徐州市西朱中学', 'gradeid': '3551', 'draw': 0, 'isadmin': 0, 'length': 10}]
41854 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '2117', 'pageindex': 0, 'classname': '（6）班', 'classid': '2670', 'schoolname': '徐州丰县广宇中英文学校', 'gradeid': '2628', 'draw': 0, 'isadmin': 0, 'length': 10}]
41856 [{'gradename': '19实验', 'start': 0, 'pageno': 1, 'schoolid': '1387', 'pageindex': 0, 'classname': '（4）班', 'classid': '9137', 'schoolname': '上饶市广丰一中', 'gradeid': '7664', 'draw': 0, 'isadmin': 0, 'length': 10}]
41864 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '944', 'pageindex': 0, 'classname': '（7）班', 'classid': '1911', 'schoolname': '南京市溧水区状元坊小学', 'gradeid': '1655', 'draw': 0, 'isadmin': 0, 'length': 10}]
41874 [{'gradename': '高二教学班（合格）', 'start': 0, 'pageno': 1, 'schoolid': '955', 'pageindex': 0, 'classname': '20届化学03班(合格)', 'classid': '2474', 'schoolname': '上海理工大学附属中学', 'gradeid': '2244', 'draw': 0, 'isadmin': 0, 'length': 10}]
41881 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '1', 'pageindex': 0, 'classname': '（5）班', 'classid': '5757', 'schoolname': '苏州紫橙实验学校', 'gradeid': '2120', 'draw': 0, 'isadmin': 0, 'length': 10}]
41890 [{'gradename': '小班', 'start': 0, 'pageno': 1, 'schoolid': '11295', 'pageindex': 0, 'classname': '（4）班', 'classid': '13659', 'schoolname': '西安市长安区终南天际幼儿园', 'gradeid': '13138', 'draw': 0, 'isadmin': 0, 'length': 10}]
41894 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '4775', 'pageindex': 0, 'classname': '（4）班', 'classid': '5417', 'schoolname': '南通市北城小学', 'gradeid': '5409', 'draw': 0, 'isadmin': 0, 'length': 10}]
41901 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '854', 'pageindex': 0, 'classname': '（13）班', 'classid': '7052', 'schoolname': '苏州市金筑实验小学校', 'gradeid': '7046', 'draw': 0, 'isadmin': 0, 'length': 10}]
41907 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '3216', 'pageindex': 0, 'classname': '（2）班', 'classid': '6048', 'schoolname': '南京汉开书院', 'gradeid': '6046', 'draw': 0, 'isadmin': 0, 'length': 10}]
41914 [{'gradename': '5-', 'start': 0, 'pageno': 1, 'schoolid': '26181', 'pageindex': 0, 'classname': '1', 'classid': '26226', 'schoolname': '武汉大兴第一实验小学', 'gradeid': '26185', 'draw': 0, 'isadmin': 0, 'length': 10}]
41918 [{'gradename': '小学部信息屏', 'start': 0, 'pageno': 1, 'schoolid': '1048', 'pageindex': 0, 'classname': '食堂三楼2', 'classid': '2384', 'schoolname': '南京晓庄学院滨河实验学校', 'gradeid': '2377', 'draw': 0, 'isadmin': 0, 'length': 10}]
41923 [{'gradename': '18级', 'start': 0, 'pageno': 1, 'schoolid': '9754', 'pageindex': 0, 'classname': '汽修（3+2）1班', 'classid': '9759', 'schoolname': '石家庄交通运输学校', 'gradeid': '9756', 'draw': 0, 'isadmin': 0, 'length': 10}]
41925 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '25739', 'pageindex': 0, 'classname': '（5）班', 'classid': '25855', 'schoolname': '亳州新方学校', 'gradeid': '25831', 'draw': 0, 'isadmin': 0, 'length': 10}]
41932 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '3040', 'pageindex': 0, 'classname': '五班', 'classid': '3292', 'schoolname': '太仓市实验小学', 'gradeid': '3256', 'draw': 0, 'isadmin': 0, 'length': 10}]
41940 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '23073', 'pageindex': 0, 'classname': '（3）班', 'classid': '23086', 'schoolname': '江阴市山观高级中学', 'gradeid': '23081', 'draw': 0, 'isadmin': 0, 'length': 10}]
41941 [{'gradename': '宿舍', 'start': 0, 'pageno': 1, 'schoolid': '9076', 'pageindex': 0, 'classname': '203', 'classid': '9079', 'schoolname': '浙江省开化县池淮镇中心小学', 'gradeid': '9077', 'draw': 0, 'isadmin': 0, 'length': 10}]
41943 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '3744', 'pageindex': 0, 'classname': '（1）班', 'classid': '4607', 'schoolname': '南京市溧水区石湫镇中心小学', 'gradeid': '4581', 'draw': 0, 'isadmin': 0, 'length': 10}]
41947 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '6982', 'pageindex': 0, 'classname': '（6）班', 'classid': '6991', 'schoolname': '南京市北京东路小学棠城分校', 'gradeid': '6983', 'draw': 0, 'isadmin': 0, 'length': 10}]
41960 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '5685', 'pageindex': 0, 'classname': '（2）班', 'classid': '5694', 'schoolname': '江阴高新区长山中心小学', 'gradeid': '5693', 'draw': 0, 'isadmin': 0, 'length': 10}]
41973 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '7012', 'pageindex': 0, 'classname': '（2）班', 'classid': '7302', 'schoolname': '南京市溧水区第三小学', 'gradeid': '7300', 'draw': 0, 'isadmin': 0, 'length': 10}]
41978 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '22946', 'pageindex': 0, 'classname': '（2）班', 'classid': '22949', 'schoolname': '江苏省江阴市第一中学', 'gradeid': '22947', 'draw': 0, 'isadmin': 0, 'length': 10}]
41983 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '23950', 'pageindex': 0, 'classname': '（2）班', 'classid': '24268', 'schoolname': '三水实验学校', 'gradeid': '24229', 'draw': 0, 'isadmin': 0, 'length': 10}]
41991 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '6192', 'pageindex': 0, 'classname': '（4）班', 'classid': '6226', 'schoolname': '天台始丰小学', 'gradeid': '6197', 'draw': 0, 'isadmin': 0, 'length': 10}]
41992 [{'gradename': '高一', 'start': 0, 'pageno': 1, 'schoolid': '15837', 'pageindex': 0, 'classname': '（12）班', 'classid': '15852', 'schoolname': '长安一中', 'gradeid': '15838', 'draw': 0, 'isadmin': 0, 'length': 10}]
41996 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '6037', 'pageindex': 0, 'classname': '（4）班', 'classid': '6128', 'schoolname': '太仓市浮桥中学', 'gradeid': '6122', 'draw': 0, 'isadmin': 0, 'length': 10}]
41997 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '120', 'pageindex': 0, 'classname': '（2）班', 'classid': '230', 'schoolname': '苏州市勤惜实验小学校', 'gradeid': '121', 'draw': 0, 'isadmin': 0, 'length': 10}]
41998 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '4327', 'pageindex': 0, 'classname': '（2）班', 'classid': '4338', 'schoolname': '汤泉中学', 'gradeid': '4331', 'draw': 0, 'isadmin': 0, 'length': 10}]
42025 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '23930', 'pageindex': 0, 'classname': '（7）班', 'classid': '24676', 'schoolname': '凤凰中英文学校', 'gradeid': '24549', 'draw': 0, 'isadmin': 0, 'length': 10}]
42030 [{'gradename': '九年级', 'start': 0, 'pageno': 1, 'schoolid': '15517', 'pageindex': 0, 'classname': '（13）班', 'classid': '15614', 'schoolname': '北票市桃园初级中学', 'gradeid': '15574', 'draw': 0, 'isadmin': 0, 'length': 10}]
42031 [{'gradename': '二年级', 'start': 0, 'pageno': 1, 'schoolid': '11390', 'pageindex': 0, 'classname': '（5）班', 'classid': '15255', 'schoolname': '长安区第二小学', 'gradeid': '14179', 'draw': 0, 'isadmin': 0, 'length': 10}]
42037 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '（10）班', 'classid': '5957', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '5868', 'draw': 0, 'isadmin': 0, 'length': 10}]
42038 [{'gradename': '中班', 'start': 0, 'pageno': 1, 'schoolid': '11117', 'pageindex': 0, 'classname': '（7）班', 'classid': '12214', 'schoolname': '美林幼儿园', 'gradeid': '12166', 'draw': 0, 'isadmin': 0, 'length': 10}]
42043 [{'gradename': '幼儿园大班', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '大三班 （星星班）', 'classid': '7613', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '7604', 'draw': 0, 'isadmin': 0, 'length': 10}]
42047 [{'gradename': '教室', 'start': 0, 'pageno': 1, 'schoolid': '8719', 'pageindex': 0, 'classname': '3号楼502', 'classid': '25816', 'schoolname': '湖北丹江口第一中学', 'gradeid': '8888', 'draw': 0, 'isadmin': 0, 'length': 10}]
42049 [{'gradename': '高三2部', 'start': 0, 'pageno': 1, 'schoolid': '7955', 'pageindex': 0, 'classname': '（20）班', 'classid': '8051', 'schoolname': '江苏省泗阳致远中学', 'gradeid': '7962', 'draw': 0, 'isadmin': 0, 'length': 10}]
42051 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '7405', 'pageindex': 0, 'classname': '（4）班', 'classid': '7758', 'schoolname': '嘉兴市蓝翔实验学校', 'gradeid': '7730', 'draw': 0, 'isadmin': 0, 'length': 10}]
42055 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '10088', 'pageindex': 0, 'classname': '（15）班', 'classid': '10124', 'schoolname': '南京市浦口江浦高中文昌校区', 'gradeid': '10090', 'draw': 0, 'isadmin': 0, 'length': 10}]
42078 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '1387', 'pageindex': 0, 'classname': '（11）班', 'classid': '1461', 'schoolname': '上饶市广丰一中', 'gradeid': '1389', 'draw': 0, 'isadmin': 0, 'length': 10}]
42087 [{'gradename': '17年级', 'start': 0, 'pageno': 1, 'schoolid': '9482', 'pageindex': 0, 'classname': '07班', 'classid': '9538', 'schoolname': '合肥皖智中学', 'gradeid': '9485', 'draw': 0, 'isadmin': 0, 'length': 10}]
42092 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '9896', 'pageindex': 0, 'classname': '（14）班', 'classid': '9931', 'schoolname': '江苏省江浦高级中学', 'gradeid': '9898', 'draw': 0, 'isadmin': 0, 'length': 10}]
42093 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '11393', 'pageindex': 0, 'classname': '（2）班', 'classid': '15332', 'schoolname': '滦镇街道内苑小学', 'gradeid': '14199', 'draw': 0, 'isadmin': 0, 'length': 10}]
42094 [{'gradename': '初二', 'start': 0, 'pageno': 1, 'schoolid': '11050', 'pageindex': 0, 'classname': '（4）班', 'classid': '24815', 'schoolname': '绍兴元培中学', 'gradeid': '24810', 'draw': 0, 'isadmin': 0, 'length': 10}]
42109 [{'gradename': '国际高二', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '（2）班', 'classid': '6765', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '6746', 'draw': 0, 'isadmin': 0, 'length': 10}]
42112 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '2206', 'pageindex': 0, 'classname': '（12）班', 'classid': '2691', 'schoolname': '江山二中', 'gradeid': '2207', 'draw': 0, 'isadmin': 0, 'length': 10}]
42118 [{'gradename': '五年级', 'start': 0, 'pageno': 1, 'schoolid': '5858', 'pageindex': 0, 'classname': '（5）班', 'classid': '5941', 'schoolname': '北京新东方扬州外国语学校', 'gradeid': '5867', 'draw': 0, 'isadmin': 0, 'length': 10}]
42119 [{'gradename': '初一', 'start': 0, 'pageno': 1, 'schoolid': '11420', 'pageindex': 0, 'classname': '（5）班', 'classid': '12416', 'schoolname': '香积寺中学', 'gradeid': '12397', 'draw': 0, 'isadmin': 0, 'length': 10}]
42120 [{'gradename': '三年级', 'start': 0, 'pageno': 1, 'schoolid': '9565', 'pageindex': 0, 'classname': '（4）班', 'classid': '9608', 'schoolname': '江苏省泗阳县实验小学', 'gradeid': '9568', 'draw': 0, 'isadmin': 0, 'length': 10}]
42122 [{'gradename': '六年级', 'start': 0, 'pageno': 1, 'schoolid': '1662', 'pageindex': 0, 'classname': '（8）班', 'classid': '1705', 'schoolname': '新沂市新华小学', 'gradeid': '1666', 'draw': 0, 'isadmin': 0, 'length': 10}]
42123 [{'gradename': '高二', 'start': 0, 'pageno': 1, 'schoolid': '15837', 'pageindex': 0, 'classname': '（12）班', 'classid': '15868', 'schoolname': '长安一中', 'gradeid': '15839', 'draw': 0, 'isadmin': 0, 'length': 10}]
42125 [{'gradename': '八年级', 'start': 0, 'pageno': 1, 'schoolid': '9682', 'pageindex': 0, 'classname': '（6）班', 'classid': '9699', 'schoolname': '宜昌市东山中学', 'gradeid': '9684', 'draw': 0, 'isadmin': 0, 'length': 10}]
42128 [{'gradename': '高三已毕业', 'start': 0, 'pageno': 1, 'schoolid': '9896', 'pageindex': 0, 'classname': '（13）班', 'classid': '9948', 'schoolname': '江苏省江浦高级中学', 'gradeid': '9899', 'draw': 0, 'isadmin': 0, 'length': 10}]
42142 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '1057', 'pageindex': 0, 'classname': '（2）班', 'classid': '1204', 'schoolname': '江苏省太仓高级中学', 'gradeid': '1058', 'draw': 0, 'isadmin': 0, 'length': 10}]
42152 [{'gradename': '初三', 'start': 0, 'pageno': 1, 'schoolid': '23078', 'pageindex': 0, 'classname': '（7）班', 'classid': '23320', 'schoolname': '江阴市要塞中学初中部', 'gradeid': '23297', 'draw': 0, 'isadmin': 0, 'length': 10}]
42153 [{'gradename': '初三 ', 'start': 0, 'pageno': 1, 'schoolid': '8286', 'pageindex': 0, 'classname': '（1）班', 'classid': '15824', 'schoolname': '江苏省溧水高级中学附属初级中学', 'gradeid': '15787', 'draw': 0, 'isadmin': 0, 'length': 10}]
42162 [{'gradename': '七年级', 'start': 0, 'pageno': 1, 'schoolid': '11427', 'pageindex': 0, 'classname': '（12）班', 'classid': '12190', 'schoolname': '长安区第三中学', 'gradeid': '12103', 'draw': 0, 'isadmin': 0, 'length': 10}]
42164 [{'gradename': '机电技术系', 'start': 0, 'pageno': 1, 'schoolid': '15898', 'pageindex': 0, 'classname': '19211班', 'classid': '24770', 'schoolname': '江苏省金坛中等专业学校', 'gradeid': '24757', 'draw': 0, 'isadmin': 0, 'length': 10}]
42165 [{'gradename': '通创办', 'start': 0, 'pageno': 1, 'schoolid': '6186', 'pageindex': 0, 'classname': '人员', 'classid': '10854', 'schoolname': '南通中学附属实验学校', 'gradeid': '10851', 'draw': 0, 'isadmin': 0, 'length': 10}]
42169 [{'gradename': '公共区域大屏', 'start': 0, 'pageno': 1, 'schoolid': '7512', 'pageindex': 0, 'classname': '六号楼三层东', 'classid': '8229', 'schoolname': '南京溧水经济开发区小学', 'gradeid': '7591', 'draw': 0, 'isadmin': 0, 'length': 10}]
42187 [{'gradename': '高三教学班', 'start': 0, 'pageno': 1, 'schoolid': '955', 'pageindex': 0, 'classname': '19届化学03班(等级)\t', 'classid': '2513', 'schoolname': '上海理工大学附属中学', 'gradeid': '2222', 'draw': 0, 'isadmin': 0, 'length': 10}]
42190 [{'gradename': '一年级', 'start': 0, 'pageno': 1, 'schoolid': '11366', 'pageindex': 0, 'classname': '（2）班', 'classid': '18832', 'schoolname': '西安电子科技大学附属小学雅居乐分校\t\t', 'gradeid': '18824', 'draw': 0, 'isadmin': 0, 'length': 10}]
42196 [{'gradename': '高三', 'start': 0, 'pageno': 1, 'schoolid': '23951', 'pageindex': 0, 'classname': '（6）班', 'classid': '24176', 'schoolname': '博爱学校', 'gradeid': '23978', 'draw': 0, 'isadmin': 0, 'length': 10}]
42203 [{'gradename': '大班', 'start': 0, 'pageno': 1, 'schoolid': '11095', 'pageindex': 0, 'classname': '（3）班', 'classid': '11576', 'schoolname': '绿泡泡幼儿园', 'gradeid': '11565', 'draw': 0, 'isadmin': 0, 'length': 10}]
42209 [{'gradename': '四年级', 'start': 0, 'pageno': 1, 'schoolid': '11375', 'pageindex': 0, 'classname': '（1）班', 'classid': '15128', 'schoolname': '杨庄街道石佛庄小学', 'gradeid': '14093', 'draw': 0, 'isadmin': 0, 'length': 10}]
